"","Publication Year","Author","Title","AGRONOMY JOURNAL","DOI","Url","Abstract Note","Date","Journal Abbreviation","location_LA_CA","field_study","primary_data","study_type","focus_agriculture","target_crop_livestock","tested_practices","Status","is_LAC_CAC","Status_AI"
"1",2022,"Pu, Chao; Chen, Jin-Sai; Wang, Hao-Di; Virk, Ahmad Latif; Zhao, Xin; Zhang, Hai-Lin","Greenhouse gas emissions from the wheat-maize cropping system under different tillage and crop residue management practices in the North China Plain",NA,"10.1016/j.scitotenv.2022.153089",NA,"With increasing attention being placed on mitigating global warming and achieving agricultural sustainable intensification, conservation agriculture practices have gradually been implemented in the North China Plain (NCP). However, there are still knowledge gaps on the effects of conservation practices on greenhouse gas (GHG) emissions in this area. In this study, a four-year field experiment was conducted from 2014 to 2018 to assess the effects of tillage and crop residue management practices on the emissions of nitrous oxide (N2O) and methane (CH4). Subsequently, crop yields, area-scaled and yield-scaled total non-carbon dioxide (CO2) GHG emissions were assessed. Our research found that no till (NT) decreased N2O emissions by 22.6% compared with conventional tillage (CT) in winter wheat (Triticum aestivum L.) seasons, but there was no difference between tillage practices in summer maize (Zea mays L.) seasons. Crop residue retention practice (+R) increased N2O emissions by 28.1% and 26.7% compared with residue removal practice (-R) in winter wheat and summer maize seasons, respectively. The NT soils took up more CH4 compared with the CT soils in summer maize seasons. Area-scaled total non-CO2 GHG emissions showed trends similar to those of N2O emission. Since crop residue retention improved the maize yield compared with the residue removal treatments, yield scaled total non-CO2 GHGs emission did not differ between residue management practices in summer maize seasons. Our four-year field measurements indicated that no-till practice could be more useful as an option to mitigate non-CO2 GHG emissions in the wheat - maize cropping system.","2022","SCIENCE OF THE TOTAL ENVIRONMENT","China","Yes","Yes","Yes","Yes","Yes","crop residue management, reduced tillage","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"2",2011,"de Campos, Ben-Hur Costa; Carneiro Amado, Telmo Jorge; Tornquist, Carlos Gustavo; Nicoloso, Rodrigo da Silveira; Fiorin, Jackson Ernani","LONG-TERM C-CO2 EMISSIONS AND CARBON CROP RESIDUE MINERALIZATION IN AN OXISOL UNDER DIFFERENT TILLAGE AND CROP ROTATION SYSTEMS","REVISTA BRASILEIRA DE CIENCIA DO SOLO","10.1590/S0100-06832011000300017",NA,"Soil C-CO2 emissions are sensitive indicators of management system impacts on soil organic matter (SOM). The main soil C-CO2 sources at the soil-plant interface are the decomposition of crop residues, SOM turnover, and respiration of roots and soil biota. The objectives of this study were to evaluate the impacts of tillage and cropping systems on long-term soil C-CO2 emissions and their relationship with carbon (C) mineralization of crop residues. A long-term experiment was conducted in a Red Oxisol in Cruz Alta, RS, Brazil, with subtropical climate Cfa (Koppen classification), mean annual precipitation of 1,774 mm and mean annual temperature of 19.2 degrees C. Treatments consisted of two tillage systems: (a) conventional tillage (CT) and (b) no tillage (NT) in combination with three cropping systems: (a) R0- monoculture system (soybean/wheat), (b) R1- winter crop rotation (soybean/wheat/soybean/black oat), and (c) R2- intensive crop rotation (soybean/black oat/soybean/black oat + common vetch/maize/oilseed radish/wheat). The soil C-CO2 efflux was measured every 14 days for two years (48 measurements), by trapping the CO2 in an alkaline solution. The soil gravimetric moisture in the 0-0.05 m layer was determined concomitantly with the C-CO2 efflux measurements. The crop residue C mineralization was evaluated with the mesh-bag method, with sampling 14, 28, 56, 84, 112, and 140 days after the beginning of the evaluation period for C measurements. Four C conservation indexes were used to assess the relation between C-CO2 efflux and soil C stock and its compartments. The crop residue C mineralization fit an exponential model in time. For black oat, wheat and maize residues, C mineralization was higher in CT than NT, while for soybean it was similar. Soil moisture was higher in NT than CT, mainly in the second year of evaluation. There was no difference in tillage systems for annual average C-CO2 emissions, but in some individual evaluations, differences between tillage systems were noticed for C-CO2 evolution. Soil C-CO2 effluxes followed a hi-modal pattern, with peaks in October/November and February/March. The highest emission was recorded in the summer and the lowest in the winter. The C-CO2 effluxes were weakly correlated to air temperature and not correlated to soil moisture. Based on the soil C conservation indexes investigated, NT associated to intensive crop rotation was more C conserving than CT with monoculture.","2011","REVISTA BRASILEIRA DE CIENCIA DO SOLO","Brazil","Yes","Yes","Yes","Yes","No","no tillage, conventional tillage, crop rotation, monoculture system","Extracted","Yes","Excluded - Issues: target_crop_livestock"
"3",2015,"Liu, Chang-An; Siddique, Kadambot H. M.","Does Plastic Mulch Improve Crop Yield in Semiarid Farmland at High Altitude?",NA,"10.2134/agronj15.0052",NA,"Crop yields have increased greatly due to the use of plastic-film mulching in dryland areas of China at low to mid-altitudes. However, its effect at high altitude remains unknown. We studied the effect of ridge-furrow with plastic-mulching practices on crop yields in semiarid farmland at high altitude (2400 m) from 2010 to 2011. The three treatments were as follows: (i) flat plot with no mulching (CK); (ii) alternating ridges (60-cm wide, 15-cm high) and furrows (60-cm wide) without plastic film (RF); and (iii) alternating ridges (60-cm wide, 15-cm high) and furrows (60-cm wide), with the ridges mulched with plastic film (RFM). Potato (Solanum tuberosum L.) and maize (Zea mays L.) crops were planted in 2010 and 2011, respectively. The RFM treatment did not increase potato yields, but significantly increased the ratio of large tuber to total tuber yields (RBT). The RBTs for CK, RF, and RFM were 44.0, 46.8, and 66.7%, respectively. In 2011, the RFM treatment had significantly higher maize yield than the CK and RF treatments, and maize yield was mainly affected by temperature in May. In conclusion, ridge-furrowing with plastic film did not increase the total yield of potato crops compared with non-mulching treatments, but did increase large tuber yield. The increase in soil temperature in May caused by mulching was important for improving maize yield in semiarid farmland at high altitude.","2015","AGRONOMY JOURNAL","China","Yes","Yes","Yes","Yes","Yes","mulch","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"4",2020,"Leite da Silva, Marcos Antonio; Lima e Silva, Paulo Sergio; de Oliveira, Vianney Reinaldo; de Sousa, Roberto Pequeno; Barbosa e Silva, Paulo Igor","Intercropping maize and cowpea cultivars: I. Green-grain yield","REVISTA CIENCIA AGRONOMICA","10.5935/1806-6690.20200014",NA,"Green ears of maize are much appreciated all over Brazil and reach higher prices than dry grain. This also occurs with green cowpea grain, which is much appreciated in the north and northeast of the country. The aim of this study was to identify maize and cowpea cultivars that can be grown as monocrops or intercrops to produce green grain in the state of Para (PA). An experiment was carried out in a randomized block design with six replications in Maraba, PA. Monocrops of traditional varieties of the cowpea ('Corujinha' and `Sempre Verde') and the maize cultivars ('AG 1051' and `AL Bandeirante'), and four alternating, intercropped rows of a combination of the varieties and cultivars were evaluated. The `AG 1051' cultivar was more productive than the `AL Bandeirante' cultivar, as both a monocrop and an intercrop. The cowpea cultivars showed a similar performance under both systems of cultivation. There was no interaction between the maize cultivars and cowpea cultivars. The monocrops were superior to the intercrops for green-ear, green-pod and green-grain yield. Considering the land equivalent ratio, if the aim is to produce green pods, intercropping is only beneficial in the AG 1051 + Corujnha combination. If the aim is for green-grain yield in the cowpea, intercropping is more advantageous when the `AG 1051' cultivar is combined with any cowpea cultivar. The intercrop including the `AL Bandeirante' cultivar is only beneficial with the `Corujinha' cultivar, and if the aim is to market unhusked, green ears of maize.","2020","REVISTA CIENCIA AGRONOMICA","Brazil","Yes","Yes","Yes","Yes","Yes","intercropping","Rejected-after extracted","Yes","Included"
"5",2021,"Li, Mo; Li, Haiyan; Fu, Qiang; Liu, Dong; Yu, Lei; Li, Tianxiao","Approach for optimizing the water-land-food-energy nexus in agroforestry systems under climate change","AGRICULTURAL SYSTEMS","10.1016/j.agsy.2021.103201",NA,"CONTEXT: Agroforestry systems are widely promoted for their economic and environmental benefits. Food, energy, water and land resources in agroforestry systems are inextricably intertwined and expected to be severely impacted by climate change. Socioeconomic development and increasing populations have posed unique challenges for meeting the demand for food, energy, water and land, and the challenge will become more pressing under projected resource shortages and eco-environmental deterioration. Thus, a method of optimizing and sustainably managing the water-land-food-energy nexus in agroforestry systems under climate change must be developed. OBJECTIVE: This paper develops an optimization model framework for the sustainable management of limited water-land-food-energy resources in agroforestry systems under climate change. The aims are to (1) quantify the interactions and feedbacks within water, land, food and energy subsystems; (2) provide trade-offs among water and energy utilization efficiency, economic benefits and environmental protection in agroforestry systems; and (3) generate optimal policy options among water and land resources for different crops and woodlands in different regions under different climate change patterns. METHODS: The model framework is based on multiobjective fractional programming, and compromise programming is used to solve it. Climate change patterns are obtained from atmospheric circulation models and representative concentration pathways. The above aims are investigated through an actual nexus management problem in northeast China. Spatiotemporal meteorological and report-based databases, life cycle assessments, Pearson correlation analyses, data envelopment analyses and analytic hierarchy processes are integrated to realize practical application. RESULTS AND CONCLUSIONS: The results show that climate variation will change the water and land allocation patterns and these changes will be more pronounced for major grain-producing areas. The optimized water allocation decreased (especially for rice, e.g., the optimal average value of the irrigation quota of rice was 4226 m(3)/ha, while the corresponding actual irrigation requirement of rice was [4200-7200] m(3)/ha) to improve the water use efficiency, and surface water allocation accounted for two-thirds. Maize had the largest planting area, although planting soybean generated the most greenhouse gases (greenhouse gas emissions from field activities for rice, maize, and soybean were 43.46%, 84.06% and 91.16%, respectively); However, these gases can be absorbed by forests. The model improved the harmonious degree of the resource-economy-environment system from 0.24 to 0.56 after optimization. SIGNIFICANCES: Integrated models contribute to the sustainable management of water, food, energy and land resources and can consider the complex dynamics under climate change. It can be used as a general model and extended to other agroforestry systems that show inefficient agricultural production.","2021","AGRICULTURAL SYSTEMS","China","No","No","No","Yes","Yes","agroforestry","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC, field_study, primary_data, study_type"
"6",2012,"Liu, Haijun; Yang, Huiying; Zheng, Jianhua; Jia, Dongdong; Wang, Jun; Li, Yan; Huang, Guanhua","Irrigation scheduling strategies based on soil matric potential on yield and fruit quality of mulched-drip irrigated chili pepper in Northwest China",NA,"10.1016/j.agwat.2012.09.009",NA,"A two-year field experiment was conducted with drip irrigation and plastic mulch to investigate an appropriate irrigation management strategy for chili pepper (Capsicum annuum L). Five treatments, with the soil matric potential (SMP) threshold range of -10 to -50 kPa at intervals of 10 kPa, were applied in this study and are correspondingly referred to as T1 to T5. Leaf area index, plant height, soil water content, yield, and total soluble solids (TSS) were measured, and seasonal crop evapotranspiration (ET), water productivity (WP), and irrigation water productivity (IWP) were computed regularly. Results showed that the differences in leaf area index, plant height, above-ground biomass, and crop yield in treatments T1 though T4 were similar (P>0.05), but higher (P<0.05) than those of treatment T5. Irrigation amount and crop ET generally decreased with decreasing SMP threshold. Threshold values with SMPs from -10 kPa to -30 kPa caused a reduction of irrigation amount by 22-43% and crop ET reduction by 11-25%. Higher TSS, larger percentage of marketable fruits, and higher WP and IWP were found for treatments T3 and T4 in both growing seasons. The highest SMP threshold (-10 kPa) and lowest SMP threshold (-50 kPa) greatly reduced the WP and IWP. Therefore, a SMP threshold range of -30 kPa to -40 kPa at 20 cm depth was recommended for irrigation management of chili pepper under mulched-drip irrigation conditions in the arid region of Northwest China. (C) 2012 Elsevier BM. All rights reserved.","2012","AGRICULTURAL WATER MANAGEMENT","China","Yes","Yes","Yes","Yes","Yes","drip irrigation, plastic mulch","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"7",2019,"Baziari, Fahimeh; Henquinet, Kari B.; Cavaleri, Molly A.","Understanding farmers' perceptions and the effects of shea (Vitellaria paradoxa) tree distribution in agroforestry parklands of Upper West Region, Ghana","AGROFORESTRY SYSTEMS","10.1007/s10457-017-0150-1",NA,"Agroforestry parklands, characterized by scattered trees growing within cultivated crop fields, are the most widespread agricultural system in semi-arid West Africa. Agroforestry trees offer many ecological and socioeconomic benefits, such as added income, food, and medicine. They are currently under threat in this region due to recent changes in agricultural and land use practices. For example, a reduction in traditional fallow rotation periods has led to decreased regeneration of a common agroforestry tree, shea (Vitellaria paradoxa), which has been an important economic resource for women. The aims of this study were to determine beneficial spatial distributions of shea to maintain high yields of staple crops and to better understand male and female farmer perceptions of shea maintenance. We compared maize (Zea mays) vegetative growth, grain yield, soil moisture, and light availability associated with individual shea trees and clumps of trees on five farms in Ghanaian agroforestry parklands. We also interviewed local farmers to better understand their management perspectives. Maize vegetative growth increased with light availability, but was not limited by soil moisture. Conversely and contrary to farmer perceptions, grain yield was not influenced by light availability, but increased with increasing soil moisture. Also contrary to common beliefs of local farmers, grain yield was greater under clumps of shea compared to scattered distributions of individual trees. We therefore recommend the maintenance of clumped distributions of shea, as they provide beneficial microclimates for staple crops, and could assist in improving the productivity of shea products that are considered the domain of women farmers.","2019","AGROFORESTRY SYSTEMS","Ghana","Yes","Yes","Yes","Yes","Yes","agroforestry","Extracted","No","Excluded - Issues: is_LAC_CAC"
"8",2021,"Nkhata, Wilson; Shimelis, Hussein; Chirwa, Rowland","Productivity of Newly Released Common Bean (Phaseolus vulgaris L.) Varieties Under Sole Cropping and Intercropping With Maize (Zea mays L.)","FRONTIERS IN SUSTAINABLE FOOD SYSTEMS","10.3389/fsufs.2021.741177",NA,"Intercropping maize (Zea mays L.) with common bean (Phaseolus vulgaris L.) is one of the predominant farming practices in eastern and southern Africa (ESA) for effective use of resources and continuous household food supply. The productivity of sole or intercropped crops is subject to variety, location, year, and their interaction. Therefore, the objective of this study was to determine the productivity of newly released common bean varieties NUA45 and SER83 under sole cropping and intercropping with a maize hybrid variety SC672 as a guide to large-scale production. Experiments were conducted at Chitedze Agricultural Research Station (13.85 degrees S; 33.38 degrees E) and Linthipe Extension Planning Area (12.06 degrees S; 33.25 degrees E) in 2019 and 2020 in Malawi using a factorial arrangement laid out in a randomized complete block design (RCBD) with four replications. The numbers of pods per plant (NPP) and seeds per pod (NSP), grain yield (GYD), and 100-seed weight were collected for common bean included, while GYD was recorded for maize. The main effects for genotype, location, year, and intercropping system were significant (p < 0.05) for GYD in common bean. The effects of the year and cropping system and location by intercropping system interaction were significant for maize GYD. The maize yield did not vary between sole cropped and intercropped systems. The total land equivalent ratios (LERs) for NUA45 and SER83 were 1.59 and 1.77, respectively. The LER-values showed a significant difference (p < 0.034), suggesting a considerably higher benefit of maize and common bean intercropping. Overall, intercropping maize with common bean rendered higher yields in the SER83/SC672 intercropping system than the sole crop in the study areas. Therefore, intra-row intercropping of the newly released common bean variety SER83 with a maize hybrid variety SC672 is recommended in the study area and other similar agro-ecologies for stable and sustainable production of both crops.","2021","FRONTIERS IN SUSTAINABLE FOOD SYSTEMS","Malawi","Yes","Yes","Yes","Yes","Yes","intercropping","Extracted","No","Excluded - Issues: is_LAC_CAC"
"9",2014,"Choudhary, Vijay Kumar; Dixit, Anil; Kumar, Paramasivam Suresh; Singh Chauhan, Bhagirath","Productivity, Weed Dynamics, Nutrient Mining, and Monetary Advantage of Maize-Legume Intercropping in the Eastern Himalayan Region of India","FIELD CROPS RESEARCH","10.1626/pps.17.342",NA,"Despite the lack of scientific knowledge on plant density and its influence on component crops in intercropping, risk-averse smallholder farmers unabatedly continue growing crops in a mixture, which finally lowers the productivity of the system. Studies were conducted to evaluate the productivity, weed dynamics, nutrient mining, and monetary advantages in the maize-legume intertropping systems. The highest yield, maize equivalent yield (MEY), and per day productivity were recorded in the plot of sole cowpea (CP) and plots of maize (M) intercropped with CP at row proportions of 1:2 (1M:2CP) and 1M:5CP. Density and biomass of grasses, sedges, and broadleaved weeds were lowest in the plot of sole CP followed by 1M:5CP. Weed smothering efficiency was highest (88%) in the plot of sole CP followed by 1M:5CP, and lowest in the plot of 1M: 1frenchbean(FB) (8%). Nitrogen, phosphorus, and potassium were removed less by weeds by intercropping M with CP than with any other legume at row proportions of 1:5. Uptake of nitrogen and potassium was high in the plot of 1M: 5 blackgram (BG) The net return, net return per dollar of investment, and marginal returns were high in the plot of 1M:2CP followed by 1M:5CP. Intercropping M with CP at a row proportion of 1:2 gave a higher yield and nutrient uptake, and lowered nutrient mining by weeds with higher returns. In an area where weeds are the major competitor with M for site-specific resources, intercropping M with CP at a row proportion of 1:2 or 1:5 will help to suppress weeds and also to obtain higher MEY. Higher yield gave better returns. Inclusion of legumes increased the uptake of nutrients by maize. This intercropping system may be found efficient in similar situations or land use elsewhere, especially in Southeast Asia.","2014","PLANT PRODUCTION SCIENCE","India, Southeast Asia","Yes","Yes","Yes","Yes","Yes","intercropping, crop residue management","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"10",2018,"Nandan, Rajiv; Singh, S. S.; Kumar, V; Singh, V; Hazra, K. K.; Nath, C. P.; Malik, R. K.; Poonia, S. P.; Solanki, Ch Hemant","Crop establishment with conservation tillage and crop residue retention in rice-based cropping systems of Eastern India: yield advantage and economic benefit","FRONTIERS IN PLANT SCIENCE","10.1007/s10333-018-0641-3",NA,"Continuous practice of tillage intensive puddled rice-based systems in South Asia has developed serious issues related to soil health and production sustainability. This has exaggerated the need for sustainable alternatives. Here, the impact of four tillage cum crop establishment practices [conventional puddled transplanted rice followed by conventional till maize/wheat (CTTPR-CT), non-puddled transplanted rice followed by zero-till maize/wheat (NPTPR-ZT), zero-till transplanted rice followed by zero-till maize/wheat (ZTTPR-ZT), zero-till direct seeded rice followed by zero-till maize/wheat (ZTDSR-ZT)], two residue management [residue removal, residue retention (similar to 33.0%)] and two rice-based rotations (rice-wheat, rice-maize) on crop performance, system productivity, and production economics were evaluated. At 4th and 5th year of rotation, complete zero-tillage-based crop establishment (ZTDSR-ZT, ZTTPR-ZT) enhanced the grain yield of rice (9.3-20.6%), wheat (18.4-22.6%), and maize (10.8-11.8%) over CTTPR-CT, whereas yield advantage in NPTPR-ZT was marginal for all the crops. The higher grain yield of rice and wheat in ZTDSR-ZT and ZTTPR-ZT treatments was mainly attributed to higher tiller production (rice 11.5-23.2%; wheat 29.5-34.9%). Likewise, the higher aboveground biomass, cob length, cob weight, and grains weight cob(-1) led to higher maize yield in conservation tillage treatments (NPTPR-ZT, ZTDSR-ZT, and ZTTPR-ZT). Retention of crop residue improved (p < 0.05) the yield of all crops being higher in maize (6.9-10.3%) followed by wheat (5.3-10.5%). The reduced cost of cultivation and higher return from produce in ZTDSR-ZT, ZTTPR-ZT, and NPTPR-ZT enhanced the net income by INR 48164, 35800, 25632, respectively, over CTTPR-CT. Thus, zero-tillage-based crop establishments with crop residue retention were found as potential alternative for improving crop productivity, profitability and sustainability of rice-based production systems.","2018","PADDY AND WATER ENVIRONMENT","South Asia","Yes","Yes","Yes","Yes","Yes","zero tillage, residue retention, non-puddled transplanted rice, zero-till transplanted rice, zero-till direct seeded rice, conventional puddled transplantation","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
